song_id,file_path,mean_arousal,mean_valence,emotion
65,datasets/DEAM/MEMD_audio/65.mp3,6.4,5.8,neutral
67,datasets/DEAM/MEMD_audio/67.mp3,7.2,6.8,happy
68,datasets/DEAM/MEMD_audio/68.mp3,3.8,4.9,fear
69,datasets/DEAM/MEMD_audio/69.mp3,3.2,3.9,sad
70,datasets/DEAM/MEMD_audio/70.mp3,4.4,3.6,sad
71,datasets/DEAM/MEMD_audio/71.mp3,5.9,3.7,neutral
72,datasets/DEAM/MEMD_audio/72.mp3,6.7,5.6,neutral
73,datasets/DEAM/MEMD_audio/73.mp3,5.8,5.6,neutral
74,datasets/DEAM/MEMD_audio/74.mp3,3.0,4.3,sad
76,datasets/DEAM/MEMD_audio/76.mp3,4.3,3.2,sad
77,datasets/DEAM/MEMD_audio/77.mp3,4.2,2.9,sad
78,datasets/DEAM/MEMD_audio/78.mp3,3.4,3.9,sad
79,datasets/DEAM/MEMD_audio/79.mp3,5.5,5.5,neutral
80,datasets/DEAM/MEMD_audio/80.mp3,6.0,5.1,neutral
81,datasets/DEAM/MEMD_audio/81.mp3,6.1,3.9,neutral
82,datasets/DEAM/MEMD_audio/82.mp3,2.9,3.5,sad
83,datasets/DEAM/MEMD_audio/83.mp3,6.1,5.8,neutral
84,datasets/DEAM/MEMD_audio/84.mp3,5.9,5.6,neutral
85,datasets/DEAM/MEMD_audio/85.mp3,7.1,6.2,neutral
86,datasets/DEAM/MEMD_audio/86.mp3,5.4,5.6,neutral
87,datasets/DEAM/MEMD_audio/87.mp3,5.3,2.6,sad
88,datasets/DEAM/MEMD_audio/88.mp3,6.7,5.5,neutral
89,datasets/DEAM/MEMD_audio/89.mp3,4.5,4.8,neutral
90,datasets/DEAM/MEMD_audio/90.mp3,4.3,4.2,sad
91,datasets/DEAM/MEMD_audio/91.mp3,4.5,5.5,neutral
92,datasets/DEAM/MEMD_audio/92.mp3,5.8,4.7,neutral
93,datasets/DEAM/MEMD_audio/93.mp3,7.2,6.0,neutral
95,datasets/DEAM/MEMD_audio/95.mp3,3.3,4.6,sad
96,datasets/DEAM/MEMD_audio/96.mp3,6.8,6.9,happy
98,datasets/DEAM/MEMD_audio/98.mp3,4.3,2.7,sad
99,datasets/DEAM/MEMD_audio/99.mp3,4.3,4.1,sad
101,datasets/DEAM/MEMD_audio/101.mp3,3.4,2.8,sad
102,datasets/DEAM/MEMD_audio/102.mp3,6.5,5.4,neutral
103,datasets/DEAM/MEMD_audio/103.mp3,5.6,3.3,neutral
104,datasets/DEAM/MEMD_audio/104.mp3,6.1,3.3,neutral
105,datasets/DEAM/MEMD_audio/105.mp3,6.5,5.0,neutral
106,datasets/DEAM/MEMD_audio/106.mp3,4.6,3.3,sad
107,datasets/DEAM/MEMD_audio/107.mp3,6.0,4.8,neutral
108,datasets/DEAM/MEMD_audio/108.mp3,4.5,4.2,sad
109,datasets/DEAM/MEMD_audio/109.mp3,4.4,4.5,sad
110,datasets/DEAM/MEMD_audio/110.mp3,4.4,2.8,sad
111,datasets/DEAM/MEMD_audio/111.mp3,5.3,5.3,neutral
112,datasets/DEAM/MEMD_audio/112.mp3,6.8,6.4,happy
113,datasets/DEAM/MEMD_audio/113.mp3,5.4,3.8,sad
114,datasets/DEAM/MEMD_audio/114.mp3,4.8,5.7,neutral
115,datasets/DEAM/MEMD_audio/115.mp3,8.4,7.8,happy
116,datasets/DEAM/MEMD_audio/116.mp3,4.4,3.9,sad
117,datasets/DEAM/MEMD_audio/117.mp3,3.9,5.0,fear
118,datasets/DEAM/MEMD_audio/118.mp3,4.9,4.6,neutral
119,datasets/DEAM/MEMD_audio/119.mp3,4.3,3.2,sad
120,datasets/DEAM/MEMD_audio/120.mp3,3.8,5.0,fear
121,datasets/DEAM/MEMD_audio/121.mp3,3.1,3.9,sad
122,datasets/DEAM/MEMD_audio/122.mp3,5.5,4.6,neutral
123,datasets/DEAM/MEMD_audio/123.mp3,6.1,6.2,neutral
124,datasets/DEAM/MEMD_audio/124.mp3,3.7,2.8,sad
125,datasets/DEAM/MEMD_audio/125.mp3,4.5,4.2,sad
126,datasets/DEAM/MEMD_audio/126.mp3,5.1,6.1,neutral
127,datasets/DEAM/MEMD_audio/127.mp3,3.0,5.3,neutral
128,datasets/DEAM/MEMD_audio/128.mp3,3.6,4.0,sad
129,datasets/DEAM/MEMD_audio/129.mp3,4.2,6.0,neutral
130,datasets/DEAM/MEMD_audio/130.mp3,3.3,4.2,sad
131,datasets/DEAM/MEMD_audio/131.mp3,6.1,4.9,neutral
133,datasets/DEAM/MEMD_audio/133.mp3,2.8,2.2,sad
134,datasets/DEAM/MEMD_audio/134.mp3,5.4,6.0,neutral
135,datasets/DEAM/MEMD_audio/135.mp3,3.7,3.5,sad
136,datasets/DEAM/MEMD_audio/136.mp3,6.8,6.2,neutral
137,datasets/DEAM/MEMD_audio/137.mp3,4.3,5.8,neutral
138,datasets/DEAM/MEMD_audio/138.mp3,3.8,2.4,sad
140,datasets/DEAM/MEMD_audio/140.mp3,4.2,4.5,sad
142,datasets/DEAM/MEMD_audio/142.mp3,4.6,4.8,neutral
143,datasets/DEAM/MEMD_audio/143.mp3,4.0,4.9,fear
144,datasets/DEAM/MEMD_audio/144.mp3,3.4,4.7,sad
145,datasets/DEAM/MEMD_audio/145.mp3,3.1,5.4,neutral
146,datasets/DEAM/MEMD_audio/146.mp3,2.4,3.5,sad
148,datasets/DEAM/MEMD_audio/148.mp3,4.7,5.0,neutral
149,datasets/DEAM/MEMD_audio/149.mp3,3.4,3.1,sad
150,datasets/DEAM/MEMD_audio/150.mp3,5.0,5.4,neutral
151,datasets/DEAM/MEMD_audio/151.mp3,4.0,4.5,sad
152,datasets/DEAM/MEMD_audio/152.mp3,4.4,5.6,neutral
153,datasets/DEAM/MEMD_audio/153.mp3,3.9,4.5,sad
154,datasets/DEAM/MEMD_audio/154.mp3,4.2,4.1,sad
155,datasets/DEAM/MEMD_audio/155.mp3,3.6,5.4,neutral
156,datasets/DEAM/MEMD_audio/156.mp3,6.4,6.7,happy
157,datasets/DEAM/MEMD_audio/157.mp3,4.0,6.2,neutral
158,datasets/DEAM/MEMD_audio/158.mp3,2.1,3.6,sad
159,datasets/DEAM/MEMD_audio/159.mp3,3.8,3.1,sad
160,datasets/DEAM/MEMD_audio/160.mp3,3.5,3.5,sad
161,datasets/DEAM/MEMD_audio/161.mp3,6.3,3.5,neutral
162,datasets/DEAM/MEMD_audio/162.mp3,3.7,4.6,neutral
163,datasets/DEAM/MEMD_audio/163.mp3,3.6,4.5,sad
164,datasets/DEAM/MEMD_audio/164.mp3,4.1,2.9,sad
166,datasets/DEAM/MEMD_audio/166.mp3,3.1,4.2,sad
167,datasets/DEAM/MEMD_audio/167.mp3,2.7,3.3,sad
168,datasets/DEAM/MEMD_audio/168.mp3,3.3,3.4,sad
169,datasets/DEAM/MEMD_audio/169.mp3,2.4,2.8,sad
170,datasets/DEAM/MEMD_audio/170.mp3,3.0,5.0,sad
171,datasets/DEAM/MEMD_audio/171.mp3,2.1,3.6,sad
172,datasets/DEAM/MEMD_audio/172.mp3,3.8,5.0,fear
173,datasets/DEAM/MEMD_audio/173.mp3,4.6,2.2,sad
174,datasets/DEAM/MEMD_audio/174.mp3,4.0,3.8,sad
175,datasets/DEAM/MEMD_audio/175.mp3,3.7,4.3,sad
176,datasets/DEAM/MEMD_audio/176.mp3,2.4,3.9,sad
177,datasets/DEAM/MEMD_audio/177.mp3,4.8,5.6,neutral
178,datasets/DEAM/MEMD_audio/178.mp3,2.8,3.7,sad
179,datasets/DEAM/MEMD_audio/179.mp3,5.2,6.0,neutral
180,datasets/DEAM/MEMD_audio/180.mp3,4.8,5.9,neutral
181,datasets/DEAM/MEMD_audio/181.mp3,3.7,2.5,sad
182,datasets/DEAM/MEMD_audio/182.mp3,2.2,3.7,sad
184,datasets/DEAM/MEMD_audio/184.mp3,3.6,3.4,sad
185,datasets/DEAM/MEMD_audio/185.mp3,4.9,4.6,neutral
186,datasets/DEAM/MEMD_audio/186.mp3,3.7,4.0,sad
187,datasets/DEAM/MEMD_audio/187.mp3,2.5,3.7,sad
188,datasets/DEAM/MEMD_audio/188.mp3,4.0,3.3,sad
189,datasets/DEAM/MEMD_audio/189.mp3,6.5,7.1,happy
190,datasets/DEAM/MEMD_audio/190.mp3,2.8,3.1,sad
191,datasets/DEAM/MEMD_audio/191.mp3,5.1,6.3,neutral
192,datasets/DEAM/MEMD_audio/192.mp3,5.8,6.1,neutral
193,datasets/DEAM/MEMD_audio/193.mp3,4.1,3.0,sad
194,datasets/DEAM/MEMD_audio/194.mp3,2.7,4.7,sad
195,datasets/DEAM/MEMD_audio/195.mp3,4.2,2.7,sad
196,datasets/DEAM/MEMD_audio/196.mp3,4.3,4.5,sad
197,datasets/DEAM/MEMD_audio/197.mp3,2.2,2.8,sad
198,datasets/DEAM/MEMD_audio/198.mp3,1.9,3.3,sad
199,datasets/DEAM/MEMD_audio/199.mp3,5.3,5.7,neutral
201,datasets/DEAM/MEMD_audio/201.mp3,3.7,4.8,neutral
202,datasets/DEAM/MEMD_audio/202.mp3,4.6,5.2,neutral
203,datasets/DEAM/MEMD_audio/203.mp3,3.5,4.8,neutral
204,datasets/DEAM/MEMD_audio/204.mp3,3.6,2.2,sad
205,datasets/DEAM/MEMD_audio/205.mp3,3.0,4.5,sad
206,datasets/DEAM/MEMD_audio/206.mp3,2.3,2.6,sad
207,datasets/DEAM/MEMD_audio/207.mp3,4.8,4.8,neutral
208,datasets/DEAM/MEMD_audio/208.mp3,4.8,6.5,neutral
209,datasets/DEAM/MEMD_audio/209.mp3,3.1,4.6,sad
210,datasets/DEAM/MEMD_audio/210.mp3,4.2,5.5,neutral
211,datasets/DEAM/MEMD_audio/211.mp3,3.1,4.9,sad
212,datasets/DEAM/MEMD_audio/212.mp3,4.6,5.4,neutral
213,datasets/DEAM/MEMD_audio/213.mp3,2.6,2.5,sad
214,datasets/DEAM/MEMD_audio/214.mp3,3.6,4.1,sad
215,datasets/DEAM/MEMD_audio/215.mp3,3.2,2.6,sad
216,datasets/DEAM/MEMD_audio/216.mp3,4.5,5.3,neutral
217,datasets/DEAM/MEMD_audio/217.mp3,3.5,4.8,neutral
218,datasets/DEAM/MEMD_audio/218.mp3,2.9,4.0,sad
219,datasets/DEAM/MEMD_audio/219.mp3,2.4,3.8,sad
220,datasets/DEAM/MEMD_audio/220.mp3,4.1,3.4,sad
221,datasets/DEAM/MEMD_audio/221.mp3,4.3,3.4,sad
222,datasets/DEAM/MEMD_audio/222.mp3,3.8,4.3,sad
223,datasets/DEAM/MEMD_audio/223.mp3,2.2,3.5,sad
224,datasets/DEAM/MEMD_audio/224.mp3,5.5,5.7,neutral
225,datasets/DEAM/MEMD_audio/225.mp3,3.7,4.2,sad
226,datasets/DEAM/MEMD_audio/226.mp3,4.9,5.0,neutral
227,datasets/DEAM/MEMD_audio/227.mp3,3.1,3.5,sad
228,datasets/DEAM/MEMD_audio/228.mp3,3.5,4.0,sad
229,datasets/DEAM/MEMD_audio/229.mp3,4.8,4.8,neutral
231,datasets/DEAM/MEMD_audio/231.mp3,4.1,5.6,neutral
232,datasets/DEAM/MEMD_audio/232.mp3,2.5,2.7,sad
233,datasets/DEAM/MEMD_audio/233.mp3,4.7,4.5,sad
234,datasets/DEAM/MEMD_audio/234.mp3,3.5,3.9,sad
235,datasets/DEAM/MEMD_audio/235.mp3,3.0,3.7,sad
236,datasets/DEAM/MEMD_audio/236.mp3,2.5,2.4,sad
237,datasets/DEAM/MEMD_audio/237.mp3,4.2,3.9,sad
238,datasets/DEAM/MEMD_audio/238.mp3,3.0,4.6,sad
239,datasets/DEAM/MEMD_audio/239.mp3,2.3,3.3,sad
240,datasets/DEAM/MEMD_audio/240.mp3,6.4,6.6,happy
241,datasets/DEAM/MEMD_audio/241.mp3,4.1,4.6,neutral
242,datasets/DEAM/MEMD_audio/242.mp3,3.5,4.7,neutral
243,datasets/DEAM/MEMD_audio/243.mp3,7.2,4.1,neutral
244,datasets/DEAM/MEMD_audio/244.mp3,4.3,4.2,sad
245,datasets/DEAM/MEMD_audio/245.mp3,4.2,6.1,neutral
246,datasets/DEAM/MEMD_audio/246.mp3,4.9,3.2,sad
247,datasets/DEAM/MEMD_audio/247.mp3,3.9,4.5,sad
248,datasets/DEAM/MEMD_audio/248.mp3,3.4,3.7,sad
250,datasets/DEAM/MEMD_audio/250.mp3,3.4,3.6,sad
253,datasets/DEAM/MEMD_audio/253.mp3,6.6,2.5,angry
254,datasets/DEAM/MEMD_audio/254.mp3,5.3,7.4,neutral
257,datasets/DEAM/MEMD_audio/257.mp3,7.6,6.9,happy
258,datasets/DEAM/MEMD_audio/258.mp3,4.3,4.3,sad
260,datasets/DEAM/MEMD_audio/260.mp3,5.3,3.6,sad
262,datasets/DEAM/MEMD_audio/262.mp3,5.6,6.9,neutral
264,datasets/DEAM/MEMD_audio/264.mp3,5.3,5.5,neutral
265,datasets/DEAM/MEMD_audio/265.mp3,4.5,6.4,neutral
266,datasets/DEAM/MEMD_audio/266.mp3,3.6,4.8,neutral
269,datasets/DEAM/MEMD_audio/269.mp3,4.3,4.8,neutral
270,datasets/DEAM/MEMD_audio/270.mp3,6.1,7.1,happy
272,datasets/DEAM/MEMD_audio/272.mp3,5.9,6.4,happy
273,datasets/DEAM/MEMD_audio/273.mp3,5.4,7.2,neutral
274,datasets/DEAM/MEMD_audio/274.mp3,7.7,6.0,happy
275,datasets/DEAM/MEMD_audio/275.mp3,5.3,5.5,neutral
276,datasets/DEAM/MEMD_audio/276.mp3,6.1,5.3,neutral
278,datasets/DEAM/MEMD_audio/278.mp3,5.5,5.1,neutral
279,datasets/DEAM/MEMD_audio/279.mp3,3.6,4.7,neutral
280,datasets/DEAM/MEMD_audio/280.mp3,4.2,3.3,sad
281,datasets/DEAM/MEMD_audio/281.mp3,5.4,7.0,neutral
282,datasets/DEAM/MEMD_audio/282.mp3,3.2,4.2,sad
284,datasets/DEAM/MEMD_audio/284.mp3,4.4,5.2,neutral
285,datasets/DEAM/MEMD_audio/285.mp3,3.5,5.1,neutral
286,datasets/DEAM/MEMD_audio/286.mp3,5.7,6.9,neutral
288,datasets/DEAM/MEMD_audio/288.mp3,3.5,5.2,neutral
289,datasets/DEAM/MEMD_audio/289.mp3,5.7,6.7,neutral
290,datasets/DEAM/MEMD_audio/290.mp3,2.1,3.9,sad
292,datasets/DEAM/MEMD_audio/292.mp3,7.3,7.4,happy
293,datasets/DEAM/MEMD_audio/293.mp3,6.3,4.2,neutral
294,datasets/DEAM/MEMD_audio/294.mp3,5.5,6.5,neutral
296,datasets/DEAM/MEMD_audio/296.mp3,5.9,5.7,neutral
297,datasets/DEAM/MEMD_audio/297.mp3,3.1,3.6,sad
298,datasets/DEAM/MEMD_audio/298.mp3,4.0,5.4,neutral
299,datasets/DEAM/MEMD_audio/299.mp3,2.8,4.3,sad
300,datasets/DEAM/MEMD_audio/300.mp3,6.8,4.5,neutral
301,datasets/DEAM/MEMD_audio/301.mp3,3.2,3.7,sad
302,datasets/DEAM/MEMD_audio/302.mp3,6.6,7.0,happy
303,datasets/DEAM/MEMD_audio/303.mp3,7.0,6.4,happy
304,datasets/DEAM/MEMD_audio/304.mp3,3.8,4.6,neutral
305,datasets/DEAM/MEMD_audio/305.mp3,6.4,6.8,happy
306,datasets/DEAM/MEMD_audio/306.mp3,5.7,6.7,neutral
307,datasets/DEAM/MEMD_audio/307.mp3,6.1,6.8,happy
308,datasets/DEAM/MEMD_audio/308.mp3,4.3,6.6,neutral
309,datasets/DEAM/MEMD_audio/309.mp3,5.3,5.8,neutral
310,datasets/DEAM/MEMD_audio/310.mp3,2.1,2.7,sad
311,datasets/DEAM/MEMD_audio/311.mp3,5.8,6.9,happy
312,datasets/DEAM/MEMD_audio/312.mp3,4.6,5.8,neutral
313,datasets/DEAM/MEMD_audio/313.mp3,3.6,5.3,neutral
314,datasets/DEAM/MEMD_audio/314.mp3,5.8,5.9,neutral
315,datasets/DEAM/MEMD_audio/315.mp3,6.4,7.5,happy
316,datasets/DEAM/MEMD_audio/316.mp3,2.8,3.5,sad
317,datasets/DEAM/MEMD_audio/317.mp3,6.1,4.3,neutral
318,datasets/DEAM/MEMD_audio/318.mp3,5.9,5.9,neutral
319,datasets/DEAM/MEMD_audio/319.mp3,4.5,6.6,neutral
320,datasets/DEAM/MEMD_audio/320.mp3,7.4,6.6,happy
321,datasets/DEAM/MEMD_audio/321.mp3,7.3,6.0,neutral
322,datasets/DEAM/MEMD_audio/322.mp3,6.1,7.6,happy
323,datasets/DEAM/MEMD_audio/323.mp3,4.8182,5.7273,neutral
324,datasets/DEAM/MEMD_audio/324.mp3,3.3,4.7,sad
325,datasets/DEAM/MEMD_audio/325.mp3,5.5,5.4,neutral
326,datasets/DEAM/MEMD_audio/326.mp3,5.4,7.2,neutral
327,datasets/DEAM/MEMD_audio/327.mp3,6.0,7.1,happy
328,datasets/DEAM/MEMD_audio/328.mp3,5.2,4.2,sad
329,datasets/DEAM/MEMD_audio/329.mp3,3.3,4.2,sad
330,datasets/DEAM/MEMD_audio/330.mp3,5.9,3.1,neutral
332,datasets/DEAM/MEMD_audio/332.mp3,5.5,6.9,neutral
333,datasets/DEAM/MEMD_audio/333.mp3,6.7,6.1,neutral
334,datasets/DEAM/MEMD_audio/334.mp3,5.9,5.9,neutral
335,datasets/DEAM/MEMD_audio/335.mp3,6.8,6.8,happy
336,datasets/DEAM/MEMD_audio/336.mp3,6.1,6.6,happy
338,datasets/DEAM/MEMD_audio/338.mp3,3.0,3.8,sad
339,datasets/DEAM/MEMD_audio/339.mp3,5.9,6.9,happy
340,datasets/DEAM/MEMD_audio/340.mp3,3.8,4.6,neutral
341,datasets/DEAM/MEMD_audio/341.mp3,3.8,4.4,sad
342,datasets/DEAM/MEMD_audio/342.mp3,4.0,5.1,fear
343,datasets/DEAM/MEMD_audio/343.mp3,7.0,8.1,happy
344,datasets/DEAM/MEMD_audio/344.mp3,4.6,5.2,neutral
345,datasets/DEAM/MEMD_audio/345.mp3,7.2,6.5,happy
346,datasets/DEAM/MEMD_audio/346.mp3,6.7,7.3,happy
347,datasets/DEAM/MEMD_audio/347.mp3,3.8182,5.8182,neutral
348,datasets/DEAM/MEMD_audio/348.mp3,5.0,5.7,neutral
349,datasets/DEAM/MEMD_audio/349.mp3,4.6,5.8,neutral
350,datasets/DEAM/MEMD_audio/350.mp3,6.0,6.5,happy
352,datasets/DEAM/MEMD_audio/352.mp3,5.5,4.5,neutral
353,datasets/DEAM/MEMD_audio/353.mp3,4.0,4.8,fear
354,datasets/DEAM/MEMD_audio/354.mp3,7.1,6.4,happy
355,datasets/DEAM/MEMD_audio/355.mp3,5.1,6.5,neutral
356,datasets/DEAM/MEMD_audio/356.mp3,4.6,5.6,neutral
357,datasets/DEAM/MEMD_audio/357.mp3,4.8,6.5,neutral
358,datasets/DEAM/MEMD_audio/358.mp3,5.6,4.2,neutral
359,datasets/DEAM/MEMD_audio/359.mp3,2.5,3.7,sad
360,datasets/DEAM/MEMD_audio/360.mp3,2.5,5.5,neutral
361,datasets/DEAM/MEMD_audio/361.mp3,2.5455,3.3636,sad
362,datasets/DEAM/MEMD_audio/362.mp3,4.0,5.9,neutral
364,datasets/DEAM/MEMD_audio/364.mp3,5.5,6.5,neutral
365,datasets/DEAM/MEMD_audio/365.mp3,6.0,7.1,happy
366,datasets/DEAM/MEMD_audio/366.mp3,6.9,6.1,neutral
367,datasets/DEAM/MEMD_audio/367.mp3,3.1,2.7,sad
368,datasets/DEAM/MEMD_audio/368.mp3,4.8,6.1,neutral
369,datasets/DEAM/MEMD_audio/369.mp3,2.9,3.4,sad
370,datasets/DEAM/MEMD_audio/370.mp3,3.8,3.4,sad
371,datasets/DEAM/MEMD_audio/371.mp3,5.2,6.6,neutral
372,datasets/DEAM/MEMD_audio/372.mp3,3.6,4.8,neutral
374,datasets/DEAM/MEMD_audio/374.mp3,7.0,4.9,neutral
375,datasets/DEAM/MEMD_audio/375.mp3,1.9,2.8,sad
376,datasets/DEAM/MEMD_audio/376.mp3,5.0,5.9,neutral
378,datasets/DEAM/MEMD_audio/378.mp3,5.5,5.9,neutral
379,datasets/DEAM/MEMD_audio/379.mp3,1.9,2.9,sad
380,datasets/DEAM/MEMD_audio/380.mp3,5.6,4.8,neutral
381,datasets/DEAM/MEMD_audio/381.mp3,6.0,6.7,happy
383,datasets/DEAM/MEMD_audio/383.mp3,4.2,3.6,sad
384,datasets/DEAM/MEMD_audio/384.mp3,3.6,4.1,sad
386,datasets/DEAM/MEMD_audio/386.mp3,5.0,5.5,neutral
387,datasets/DEAM/MEMD_audio/387.mp3,6.2,6.2,neutral
390,datasets/DEAM/MEMD_audio/390.mp3,5.7,6.2,neutral
391,datasets/DEAM/MEMD_audio/391.mp3,5.5,6.1,neutral
392,datasets/DEAM/MEMD_audio/392.mp3,3.4,4.8,neutral
393,datasets/DEAM/MEMD_audio/393.mp3,6.0,6.4,happy
395,datasets/DEAM/MEMD_audio/395.mp3,6.7,6.2,neutral
397,datasets/DEAM/MEMD_audio/397.mp3,7.0,7.0,happy
399,datasets/DEAM/MEMD_audio/399.mp3,6.7,7.0,happy
400,datasets/DEAM/MEMD_audio/400.mp3,5.1,5.6,neutral
401,datasets/DEAM/MEMD_audio/401.mp3,5.5,6.4,neutral
402,datasets/DEAM/MEMD_audio/402.mp3,7.1,7.1,happy
403,datasets/DEAM/MEMD_audio/403.mp3,5.1,5.2,neutral
404,datasets/DEAM/MEMD_audio/404.mp3,6.9,6.8,happy
405,datasets/DEAM/MEMD_audio/405.mp3,6.1,7.4,happy
406,datasets/DEAM/MEMD_audio/406.mp3,5.3,4.3,sad
407,datasets/DEAM/MEMD_audio/407.mp3,4.3,4.5,sad
408,datasets/DEAM/MEMD_audio/408.mp3,6.6,6.1,neutral
410,datasets/DEAM/MEMD_audio/410.mp3,3.8,5.1,fear
415,datasets/DEAM/MEMD_audio/415.mp3,6.0,5.2,neutral
416,datasets/DEAM/MEMD_audio/416.mp3,5.5,5.2,neutral
419,datasets/DEAM/MEMD_audio/419.mp3,3.3,4.0,sad
420,datasets/DEAM/MEMD_audio/420.mp3,4.5,5.4,neutral
422,datasets/DEAM/MEMD_audio/422.mp3,2.8,3.7,sad
423,datasets/DEAM/MEMD_audio/423.mp3,5.2,4.5,neutral
425,datasets/DEAM/MEMD_audio/425.mp3,7.1,6.8,happy
426,datasets/DEAM/MEMD_audio/426.mp3,5.3,5.3,neutral
427,datasets/DEAM/MEMD_audio/427.mp3,5.2,5.8,neutral
428,datasets/DEAM/MEMD_audio/428.mp3,6.6,6.6,happy
429,datasets/DEAM/MEMD_audio/429.mp3,3.3,4.3,sad
430,datasets/DEAM/MEMD_audio/430.mp3,4.0,2.9,sad
431,datasets/DEAM/MEMD_audio/431.mp3,6.1,5.5,neutral
432,datasets/DEAM/MEMD_audio/432.mp3,5.3,5.3,neutral
435,datasets/DEAM/MEMD_audio/435.mp3,4.5,5.9,neutral
436,datasets/DEAM/MEMD_audio/436.mp3,4.3,5.2,neutral
437,datasets/DEAM/MEMD_audio/437.mp3,5.2,4.3,sad
440,datasets/DEAM/MEMD_audio/440.mp3,5.3,6.3,neutral
441,datasets/DEAM/MEMD_audio/441.mp3,4.6,5.1,neutral
442,datasets/DEAM/MEMD_audio/442.mp3,4.1,4.5,sad
444,datasets/DEAM/MEMD_audio/444.mp3,2.3,2.5,sad
445,datasets/DEAM/MEMD_audio/445.mp3,2.4,4.6,sad
448,datasets/DEAM/MEMD_audio/448.mp3,6.5556,6.3333,happy
449,datasets/DEAM/MEMD_audio/449.mp3,3.6,3.8,sad
450,datasets/DEAM/MEMD_audio/450.mp3,4.1,5.0,fear
451,datasets/DEAM/MEMD_audio/451.mp3,4.9,4.4,sad
452,datasets/DEAM/MEMD_audio/452.mp3,5.6,6.8,neutral
453,datasets/DEAM/MEMD_audio/453.mp3,4.6,5.6,neutral
454,datasets/DEAM/MEMD_audio/454.mp3,5.0,4.8,neutral
455,datasets/DEAM/MEMD_audio/455.mp3,5.4,5.7,neutral
456,datasets/DEAM/MEMD_audio/456.mp3,6.1,2.3,angry
458,datasets/DEAM/MEMD_audio/458.mp3,3.4,5.0,neutral
459,datasets/DEAM/MEMD_audio/459.mp3,6.3,6.1,neutral
460,datasets/DEAM/MEMD_audio/460.mp3,3.8,3.8,sad
461,datasets/DEAM/MEMD_audio/461.mp3,4.8,4.4,sad
